household_size,income,race,age,sex,zipcode,decision
3,38826,asian,52,male,28674,NO
6,58830,other,20,female,87036,YES
1,35664,hispanic,16,female,13890,NO
4,61267,caucasian,35,male,46050,NO
3,27033,hispanic,39,female,24485,NO
1,85055,asian,31,female,20636,NO
10,60525,asian,49,female,20235,YES
1,29698,other,1,female,29646,NO
9,57065,hispanic,12,male,54230,YES
7,98609,other,22,male,86443,YES
2,56023,african american,54,male,19048,NO
7,29747,other,59,male,64599,YES
7,69154,asian,58,male,61824,YES
3,51958,other,53,male,16563,NO
3,95187,caucasian,26,male,76016,NO
1,21066,asian,38,male,86286,NO
3,67695,african american,35,male,55021,NO
2,99220,caucasian,28,female,12037,NO
2,29932,caucasian,37,male,12083,NO
9,26581,caucasian,20,male,54805,YES
8,86101,caucasian,40,male,30241,YES
8,40924,caucasian,34,male,88538,YES
6,19860,hispanic,35,female,49074,YES
2,87776,african american,40,female,12803,NO
1,40268,african american,59,male,59119,NO
6,88883,asian,7,female,38712,YES
1,99734,hispanic,36,female,42654,NO
1,89331,asian,37,female,62048,NO
3,71172,hispanic,48,male,52950,NO
4,71899,hispanic,12,male,82059,NO
9,43847,african american,45,female,93460,YES
7,19975,caucasian,50,male,70028,YES
7,60976,african american,4,female,79877,YES
3,66189,asian,21,female,54685,NO
9,28045,hispanic,32,male,77727,YES
5,28753,caucasian,43,female,92185,NO
7,36969,asian,28,female,26377,YES
2,47965,asian,10,male,57432,NO
9,74151,caucasian,36,female,49928,YES
7,53253,other,28,male,76980,YES
3,69910,african american,42,male,33940,NO
8,93420,asian,27,female,75759,YES
4,24896,hispanic,4,male,66013,NO
7,48451,african american,31,female,74527,YES
7,54935,hispanic,18,female,45762,YES
6,80876,caucasian,17,female,55281,YES
3,41804,hispanic,9,male,39430,NO
10,61385,hispanic,39,male,60467,YES
5,85093,hispanic,5,male,22838,NO
5,86155,asian,51,female,77716,NO
3,21977,other,31,male,75172,NO
8,50736,asian,13,female,43264,YES
4,67775,asian,60,male,65426,NO
2,57379,other,6,male,56204,NO
3,75989,african american,5,male,62980,NO
10,77361,hispanic,31,male,72487,YES
2,31811,hispanic,10,male,19018,NO
2,80552,african american,34,female,23900,NO
6,38191,other,42,male,18025,YES
6,17223,asian,52,female,10650,YES
3,22512,caucasian,4,female,20440,NO
8,30017,asian,57,male,51959,YES
1,23878,asian,11,male,42641,NO
10,97566,caucasian,8,female,50053,YES
8,89464,caucasian,19,female,79154,YES
5,52896,hispanic,47,male,84781,NO
10,78898,other,19,male,41545,YES
5,79322,african american,58,male,27702,NO
5,76015,asian,42,female,93226,NO
5,27994,asian,13,male,17681,NO
7,62527,caucasian,43,male,62825,YES
3,19139,other,50,female,39493,NO
6,76794,african american,28,male,62163,YES
9,68118,caucasian,2,female,70272,YES
9,97707,african american,24,female,50994,YES
9,87159,caucasian,58,male,53838,YES
10,33669,asian,40,female,10278,YES
4,51869,asian,21,male,16726,NO
1,11745,african american,59,female,76017,NO
8,87293,caucasian,15,male,32748,YES
10,24746,african american,38,female,88597,YES
5,58763,hispanic,46,female,67505,NO
5,96377,hispanic,54,male,62338,NO
6,55580,hispanic,21,female,96408,YES
5,65138,other,6,male,19526,NO
9,74320,asian,27,male,65002,YES
4,43848,african american,36,female,84851,NO
4,17299,other,54,female,91848,NO
3,96401,asian,5,female,38847,NO
5,54703,other,55,male,27378,NO
8,13707,other,34,male,41440,YES
3,19615,african american,23,female,87805,NO
10,38371,african american,39,male,38211,YES
7,21303,african american,18,male,78240,YES
7,18610,asian,54,female,28082,YES
6,93522,asian,2,female,93675,YES
6,69273,african american,20,male,52724,YES
5,35517,hispanic,45,female,16243,NO
6,77055,caucasian,14,male,70290,YES
3,40243,other,45,male,40310,NO
3,13805,asian,48,male,76508,NO
1,95689,african american,52,female,68812,NO
1,95562,asian,17,male,40587,NO
6,64582,african american,52,female,44722,YES
8,12785,other,38,female,12493,YES
9,43964,other,0,female,44409,YES
5,78491,asian,40,male,47112,NO
8,34731,african american,29,female,92963,YES
1,76366,other,12,female,68425,NO
5,63358,hispanic,13,female,30097,NO
10,83311,african american,44,female,35139,YES
9,83471,hispanic,41,male,22929,YES
6,86934,hispanic,21,female,15882,YES
5,83108,other,7,female,54310,NO
4,53376,caucasian,39,male,32430,NO
1,81738,asian,21,male,84666,NO
5,26751,african american,19,female,76141,NO
3,34032,african american,16,female,77230,NO
3,43036,hispanic,36,female,94088,NO
5,72183,african american,33,female,43984,NO
10,13943,hispanic,13,male,44127,YES
2,18700,other,11,male,56882,NO
5,97979,asian,15,male,48506,NO
8,39107,caucasian,3,male,22053,YES
2,45896,hispanic,60,female,77427,NO
8,75520,other,47,female,30984,YES
10,12744,asian,15,female,55288,YES
4,89997,caucasian,33,male,56337,NO
3,66969,caucasian,23,female,86174,NO
1,73825,other,0,male,16454,NO
7,55216,asian,28,female,79441,YES
5,37537,hispanic,59,female,36787,NO
4,36790,hispanic,6,female,71300,NO
4,61599,asian,5,male,55385,NO
7,36074,other,46,female,53909,YES
2,71042,caucasian,54,female,41833,NO
7,32170,hispanic,3,female,60419,YES
8,99790,hispanic,35,female,56998,YES
7,34213,african american,7,female,91198,YES
8,33153,hispanic,34,male,52541,YES
3,88518,other,4,female,12198,NO
6,12391,hispanic,52,male,55347,YES
8,15823,asian,53,female,69800,YES
4,95328,other,48,female,16943,NO
3,75702,asian,46,female,14876,NO
7,75529,other,39,female,89042,YES
3,84679,caucasian,31,female,98867,NO
8,34090,african american,5,female,41008,YES
6,71925,hispanic,25,female,99669,YES
1,81587,asian,34,female,58113,NO
10,10186,asian,2,male,18060,YES
3,42147,hispanic,59,female,63288,NO
9,23453,hispanic,48,female,64509,YES
7,28763,asian,45,female,34108,YES
3,58987,asian,15,female,65953,NO
9,79040,hispanic,32,male,71112,YES
3,38048,asian,39,female,15306,NO
10,46824,asian,4,male,72518,YES
3,72700,hispanic,20,male,16254,NO
9,21723,african american,36,female,60869,YES
7,13157,asian,41,female,88526,YES
2,33173,other,23,female,12117,NO
10,22021,african american,43,female,70052,YES
2,73835,caucasian,6,female,11045,NO
4,32360,hispanic,48,female,36905,NO
7,23066,caucasian,29,female,12287,YES
10,66390,african american,52,male,23645,YES
2,91014,caucasian,4,female,64370,NO
9,53810,caucasian,49,male,69358,YES
8,94484,other,29,male,99544,YES
6,31152,hispanic,54,male,69276,YES
7,59233,african american,41,female,51329,YES
1,69839,asian,29,male,89112,NO
2,93740,african american,41,male,75984,NO
7,16602,asian,6,male,38116,YES
3,87476,other,58,male,45363,NO
3,76601,caucasian,51,male,27448,NO
5,44196,hispanic,40,female,78686,NO
8,47184,other,53,female,97769,YES
8,49919,caucasian,47,female,73243,YES
3,91845,african american,5,female,71608,NO
2,43683,other,53,male,13017,NO
6,70463,asian,14,female,50383,YES
5,35465,hispanic,25,female,83127,NO
8,24021,caucasian,34,male,94831,YES
5,97373,other,48,female,35605,NO
1,51322,african american,36,male,90723,NO
1,17772,other,33,female,68703,NO
8,85933,other,22,female,20360,YES
5,63571,african american,6,female,30924,NO
7,62528,hispanic,24,female,17356,YES
8,17451,african american,2,male,90115,YES
2,76055,hispanic,43,male,73897,NO
2,90587,african american,18,male,15744,NO
5,13092,asian,6,male,84833,NO
5,80722,hispanic,56,female,34073,NO
7,70625,hispanic,58,female,88467,YES
10,79296,hispanic,6,male,86171,YES
2,96978,hispanic,42,male,30549,NO
9,28301,caucasian,15,female,70387,YES
6,44498,other,11,male,92900,YES
1,75185,asian,11,male,52969,NO
4,51314,caucasian,1,female,22055,NO
9,32615,african american,59,female,89494,YES
